"State","Year","Children Age 12 or Younger at Entry (%)","Children Older than 12 Years at Entry (%)","Missing Data (%)","Number of Children Exiting to Emancipation"
"Alabama","2024","17.3","82.7","0.0","202"
"Alaska","2024","0.0","100.0","0.0","1"
"Arizona","2024","14.6","85.4","0.0","635"
"Arkansas","2024","18.1","81.9","0.0","182"
"California","2024","21.1","78.9","0.0","2,522"
"Colorado","2024","1.3","98.7","0.0","150"
"Connecticut","2024","15.3","84.7","0.0","124"
"Delaware","2024","16.7","83.3","0.0","36"
"District of Columbia","2024","12.8","87.2","0.0","39"
"Florida","2024","12.5","87.5","0.0","718"
"Georgia","2024","17.7","82.3","0.0","547"
"Hawaii","2024","17.4","82.6","0.0","23"
"Idaho","2024","20.3","79.7","0.0","59"
"Illinois","2024","28.1","71.9","0.0","256"
"Indiana","2024","11.4","88.6","0.0","306"
"Iowa","2024","7.7","92.3","0.0","209"
"Kansas","2024","17.3","82.7","0.0","427"
"Kentucky","2024","9.0","91.0","0.0","477"
"Louisiana","2024","0.0","100.0","0.0","82"
"Maine","2024","26.3","73.7","0.0","38"
"Maryland","2024","16.7","83.3","0.0","252"
"Massachusetts","2024","16.7","83.3","0.0","287"
"Michigan","2024","11.0","89.0","0.0","534"
"Minnesota","2024","15.8","84.2","0.0","342"
"Mississippi","2024","10.0","90.0","0.0","50"
"Missouri","2024","13.3","86.7","0.0","347"
"Montana","2024","30.5","69.5","0.0","59"
"Nebraska","2024","17.5","82.5","0.0","143"
"Nevada","2024","5.3","94.7","0.0","38"
"New Hampshire","2024","1.3","98.7","0.0","76"
"New Jersey","2024","16.9","83.1","0.0","154"
"New Mexico","2024","8.8","91.2","0.0","57"
"New York","2024","22.3","77.7","0.0","627"
"North Carolina","2024","19.8","80.2","0.0","288"
"North Dakota","2024","5.1","94.9","0.0","39"
"Ohio","2024","9.1","90.9","0.0","1,138"
"Oklahoma","2024","21.0","79.0","0.0","186"
"Oregon","2024","33.3","66.7","0.0","165"
"Pennsylvania","2024","9.6","90.4","0.0","468"
"Puerto Rico","2024","48.1","51.9","0.0","27"
"Rhode Island","2024","20.5","79.5","0.0","83"
"South Carolina","2024","16.6","83.4","0.0","271"
"South Dakota","2024","24.0","76.0","0.0","75"
"Tennessee","2024","3.3","96.7","0.0","605"
"Texas","2024","33.8","66.2","0.0","633"
"Utah","2024","11.8","88.2","0.0","102"
"Vermont","2024","17.2","82.8","0.0","29"
"Virginia","2024","8.7","91.3","0.0","446"
"Washington","2024","25.2","74.8","0.0","123"
"West Virginia","2024","11.6","88.4","0.0","215"
"Wisconsin","2024","14.8","85.2","0.0","203"
"Wyoming","2024","9.1","90.9","0.0","22"
