"State","Year","Children Age 12 or Younger at Entry (%)","Children Older than 12 Years at Entry (%)","Missing Data (%)","Number of Children Exiting to Emancipation"
"Alabama","2022","18.2","81.8","0.0","296"
"Alaska","2022","21.8","78.2","0.0","101"
"Arizona","2022","11.0","89.0","0.0","767"
"Arkansas","2022","16.0","84.0","0.0","213"
"California","2022","22.7","77.3","0.0","2,887"
"Colorado","2022","7.1","92.9","0.0","113"
"Connecticut","2022","30.0","70.0","0.0","90"
"Delaware","2022","19.7","80.3","0.0","66"
"District of Columbia","2022","21.2","78.8","0.0","52"
"Florida","2022","11.0","89.0","0.0","730"
"Georgia","2022","16.9","83.1","0.0","555"
"Hawaii","2022","4.9","95.1","0.0","102"
"Idaho","2022","6.8","93.2","0.0","44"
"Illinois","2022","25.6","74.4","0.0","583"
"Indiana","2022","16.5","83.5","0.0","237"
"Iowa","2022","16.6","83.4","0.0","187"
"Kansas","2022","17.3","82.7","0.0","393"
"Kentucky","2022","14.0","86.0","0.0","565"
"Louisiana","2022","15.7","84.3","0.0","140"
"Maine","2022","50.0","50.0","0.0","14"
"Maryland","2022","15.6","84.4","0.0","443"
"Massachusetts","2022","20.4","79.6","0.0","648"
"Michigan","2022","14.9","85.1","0.0","582"
"Minnesota","2022","16.2","83.8","0.0","340"
"Mississippi","2022","15.9","84.1","0.0","63"
"Missouri","2022","17.4","82.6","0.0","619"
"Montana","2022","37.9","62.1","0.0","95"
"Nebraska","2022","8.5","91.5","0.0","117"
"Nevada","2022","24.7","75.3","0.0","150"
"New Hampshire","2022","9.8","90.2","0.0","51"
"New Jersey","2022","24.6","73.7","1.8","171"
"New Mexico","2022","47.2","52.8","0.0","53"
"New York","2022","9.9","90.1","0.0","1,321"
"North Carolina","2022","15.1","84.9","0.0","166"
"North Dakota","2022","8.3","91.7","0.0","36"
"Ohio","2022","9.2","90.8","0.0","1,328"
"Oklahoma","2022","24.4","75.6","0.0","172"
"Oregon","2022","27.6","72.4","0.0","246"
"Pennsylvania","2022","9.3","90.7","0.0","701"
"Puerto Rico","2022","100.0","0.0","0.0","1"
"Rhode Island","2022","13.1","86.9","0.0","107"
"South Carolina","2022","15.6","84.4","0.0","301"
"South Dakota","2022","29.9","70.1","0.0","67"
"Tennessee","2022","4.6","95.4","0.0","366"
"Texas","2022","24.4","75.6","0.0","1,041"
"Utah","2022","7.1","92.9","0.0","99"
"Vermont","2022","15.8","84.2","0.0","38"
"Virginia","2022","8.6","91.4","0.0","418"
"Washington","2022","13.9","86.1","0.0","230"
"West Virginia","2022","15.2","84.8","0.0","66"
"Wisconsin","2022","16.2","83.8","0.0","377"
"Wyoming","2022","0.0","100.0","0.0","12"
