"State","Year","Children Age 12 or Younger at Entry (%)","Children Older than 12 Years at Entry (%)","Missing Data (%)","Number of Children Exiting to Emancipation"
"Alabama","2021","13.0","87.0","0.0","315"
"Alaska","2021","21.7","78.3","0.0","106"
"Arizona","2021","8.0","92.0","0.0","652"
"Arkansas","2021","19.0","81.0","0.0","211"
"California","2021","19.1","80.9","0.0","3,111"
"Colorado","2021","10.7","89.3","0.0","169"
"Connecticut","2021","57.1","42.9","0.0","70"
"Delaware","2021","11.5","88.5","0.0","52"
"District of Columbia","2021","10.0","90.0","0.0","50"
"Florida","2021","8.7","91.3","0.0","721"
"Georgia","2021","18.5","81.5","0.0","628"
"Hawaii","2021","10.0","90.0","0.0","80"
"Idaho","2021","3.4","96.6","0.0","58"
"Illinois","2021","25.6","74.4","0.0","660"
"Indiana","2021","16.8","83.2","0.0","322"
"Iowa","2021","14.1","85.9","0.0","177"
"Kansas","2021","15.5","84.5","0.0","444"
"Kentucky","2021","9.6","90.4","0.0","574"
"Louisiana","2021","16.6","83.4","0.0","145"
"Maine","2021","26.5","73.5","0.0","49"
"Maryland","2021","16.8","83.2","0.0","475"
"Massachusetts","2021","19.8","80.2","0.0","617"
"Michigan","2021","13.0","87.0","0.0","623"
"Minnesota","2021","16.2","83.8","0.0","365"
"Mississippi","2021","19.6","80.4","0.0","56"
"Missouri","2021","20.8","79.2","0.0","601"
"Montana","2021","26.4","73.6","0.0","91"
"Nebraska","2021","14.5","85.5","0.0","110"
"Nevada","2021","13.4","86.6","0.0","164"
"New Hampshire","2021","9.0","91.0","0.0","67"
"New Jersey","2021","22.0","78.0","0.0","173"
"New Mexico","2021","26.2","73.8","0.0","65"
"New York","2021","7.8","92.2","0.0","1,531"
"North Carolina","2021","21.8","78.2","0.0","450"
"North Dakota","2021","6.5","93.5","0.0","31"
"Ohio","2021","5.7","94.3","0.0","1,173"
"Oklahoma","2021","24.3","75.7","0.0","202"
"Oregon","2021","26.1","73.9","0.0","268"
"Pennsylvania","2021","9.5","90.5","0.0","717"
"Puerto Rico","2021","0.0","100.0","0.0","2"
"Rhode Island","2021","19.2","80.8","0.0","104"
"South Carolina","2021","16.8","83.2","0.0","256"
"South Dakota","2021","21.7","78.3","0.0","69"
"Tennessee","2021","6.1","93.9","0.0","342"
"Texas","2021","22.2","77.8","0.0","1,187"
"Utah","2021","14.8","85.2","0.0","115"
"Vermont","2021","15.2","84.8","0.0","33"
"Virginia","2021","10.6","89.4","0.0","385"
"Washington","2021","15.2","84.8","0.0","105"
"West Virginia","2021","13.6","86.4","0.0","88"
"Wisconsin","2021","11.7","88.3","0.0","351"
"Wyoming","2021","11.1","88.9","0.0","18"
